filename,size_x,size_y,x0,y0,x1,y1,hierarchy_level
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F_B6F_B7F_Exit-Mouse_Blackout-Room_Capsules_Boss-Room,256,256,7936,4608,8192,4864,12
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_Hawk-Eye-Room_Stairs_Hole-Room_Room_Exit-Hall,768,256,5888,3328,6656,3584,11
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F_B6F_B7F_Exit-Mouse_Blackout-Room_Capsules,256,128,7680,6016,7936,6144,11
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_Hawk-Eye-Room_Stairs_Hole-Room_Room,192,128,4096,6016,4288,6144,10
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_NE-Stairs_Room_Stairs_Plate-Room,256,128,4096,5248,4352,5376,10
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F_B6F_B7F_Exit-Mouse_Blackout-Room,512,512,6400,4096,6912,4608,10
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_Hawk-Eye-Room_Stairs_Hole-Room,192,128,4096,5760,4288,5888,9
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_NE-Stairs_Room_Stairs,768,512,3584,8448,4352,8960,9
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F_B6F_B7F_Exit-Mouse,256,128,6656,5760,6912,5888,9
Fourside_Monotoli_L3_Left_Up_Left_Right_Left_Left-(Monotoli),512,256,5376,5888,5888,6144,8
Fourside_Monotoli_L3_Left_Up_Left_Right_Left_Left-(to-Roof),256,128,5376,4096,5632,4224,8
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_Hawk-Eye-Room_Stairs,384,256,5120,3328,5504,3584,8
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_NE-Stairs_Room,256,128,4096,4992,4352,5120,8
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_NW-Stairs_Room,128,128,4096,4736,4224,4864,8
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F_B6F_B7F,1280,1024,6144,3584,7424,4608,8
Fourside_Monotoli_L3_Left_Up_Left_Right_Left-(Clumsy-Robot),256,128,5888,5888,6144,6016,7
Fourside_Monotoli_L3_Left_Up_Left_Right_Up-(Electra),256,128,5888,5632,6144,5760,7
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_Hawk-Eye-Room,256,128,4096,5504,4352,5632,7
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_NE-Stairs,384,256,4352,9600,4736,9856,7
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room_NW-Stairs,384,256,3840,3072,4224,3328,7
Threed_Under Graveyard_1F_B1F_Stairs_B2F_Stairs_Boss-Room,256,128,3840,5632,4096,5760,7
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F_B6F,1024,256,6400,6656,7424,6912,7
Dalaam_Pink Cloud_1F_Top-Hole_Left-Hole_Boss-Room_Sanctuary-Room,512,384,3328,6016,3840,6400,6
Fourside_Monotoli_L3_Left_Up_Left_-Right,256,128,5120,5632,5376,5760,6
Fourside_Monotoli_L3_Left_Up_Left_Left,256,128,5888,5376,6144,5504,6
Onett_Lier X Agerate's Shack_1F_B1F_B2F_B3F_B4F,256,128,3840,5888,4096,6016,6
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs_Sarcophagus-Room,256,256,768,3584,1024,3840,6
Threed_Under Graveyard_1F_B1F_Stairs_B2F_Stairs,256,128,3840,5376,4096,5504,6
Winters_Stonehenge Base_B1F_B2F_B3F_B4F_B5F,1024,768,6144,4864,7168,5632,6
Dalaam_Pink Cloud_1F_Top-Hole_Left-Hole_Boss-Room,512,256,2048,5376,2560,5632,5
Dusty Dunes Desert_Monkey Cave_Start_Left_Right_Left-(Trashcan),128,64,6144,6400,6272,6464,5
Dusty Dunes Desert_Monkey Cave_Start_Left_Right_Right-(Chest),192,128,6144,6656,6336,6784,5
Dusty Dunes Desert_Monkey Cave_Start_Right_Left_Left-(Chest),128,128,7680,6144,7808,6272,5
Dusty Dunes Desert_Monkey Cave_Start_Right_Left_Right-(Hallway),512,128,6656,6272,7168,6400,5
Dusty Dunes Desert_Monkey Cave_Start_Right_Left_Right-(Pencil-Eraser),192,128,7936,5632,8128,5760,5
Dusty Dunes Desert_Monkey Cave_Start_Right_Left_Right-(Talah-Rama-Room),256,192,7424,6656,7680,6848,5
Dusty Dunes Desert_Monkey Cave_Start_Right_Right_Left-(get-King-Banana),128,128,6656,5888,6784,6016,5
Dusty Dunes Desert_Monkey Cave_Start_Right_Right_Right-(Trash-can),256,128,6656,6400,6912,6528,5
Fourside_Monotoli_L3_Left_Up_Left,256,128,5120,5376,5376,5504,5
Fourside_Monotoli_L3_Left_Up_Up,256,128,5888,5120,6144,5248,5
Lost Underworld_Fire Springs_1F_Hallway-1_Hallway-2_Hallway-3,320,192,6656,2368,6976,2560,5
Onett_Lier X Agerate's Shack_1F_B1F_B2F_B3F,512,128,3072,2048,3584,2176,5
Scaraba_Dungeon Man_1F_2F_3F_4F,256,512,1536,8192,1792,8704,5
Scaraba_Pyramid_Entryway_Stairs_Room_Stairs,768,512,2816,5888,3584,6400,5
Summers and Toto_Museum_1F_Exhibit-Room_Upstairs_Mummy-Room,256,128,7936,9472,8192,9600,5
Threed_Under Graveyard_1F_B1F_Stairs_B2F,256,128,3840,5120,4096,5248,5
Twoson_Polestar_1F_Den_Bedroom_Paula's-Room,256,128,7936,8832,8192,8960,5
Winters_Stonehenge Base_B1F_B2F_B3F_B4F,768,256,7424,5376,8192,5632,5
Cutscenes_Flashback_1F_2F_Ness'-Room,256,128,5888,2048,6144,2176,4
Dalaam_Pink Cloud_1F_Top-Hole_Left-Hole,320,256,4096,8448,4416,8704,4
Dusty Dunes Desert_Monkey Cave_Start_Left_Left-(get-Fresh-Egg),128,128,6144,5888,6272,6016,4
Dusty Dunes Desert_Monkey Cave_Start_Left_Left-(Hallway),256,128,6144,6016,6400,6144,4
Dusty Dunes Desert_Monkey Cave_Start_Left_Right-(Hallway),256,128,6144,6272,6400,6400,4
"Dusty Dunes Desert_Monkey Cave_Start_Left_Right-(Hamburger,-Hamburger)",256,128,6144,6144,6400,6272,4
Dusty Dunes Desert_Monkey Cave_Start_Right_Left-(Hallway),256,128,6656,6016,6912,6144,4
"Dusty Dunes Desert_Monkey Cave_Start_Right_Left-(Hamburger,-King-Banana)",192,128,7680,5888,7872,6016,4
Dusty Dunes Desert_Monkey Cave_Start_Right_Right-(Hallway),256,128,6144,6784,6400,6912,4
"Dusty Dunes Desert_Monkey Cave_Start_Right_Right-(Ruler,-Fresh-Egg)",256,128,6656,5632,6912,5760,4
Fourside_Fourside Sewers_1F_Boss-Room_Room,256,128,4096,4864,4352,4992,4
Fourside_Fourside Sewers_1F_Left-Hallway_Left-Hallway,256,256,0,1280,256,1536,4
Fourside_Fourside Sewers_1F_Left-Hallway_Room,224,128,4096,4608,4320,4736,4
Fourside_Hospital_1F_2F_Left-Room,256,128,5888,6272,6144,6400,4
Fourside_Hospital_1F_2F_Right-Room,256,128,5632,6656,5888,6784,4
Fourside_Hotel_1F_Lobby_Left-Room,256,128,5632,6528,5888,6656,4
Fourside_Hotel_1F_Lobby_Right-Room,256,128,5632,6784,5888,6912,4
Fourside_Monotoli_L1_Lobby_Elevator-Up,128,128,5120,4992,5248,5120,4
Fourside_Monotoli_L2_Lobby_Elevator-Down,128,128,5120,5248,5248,5376,4
Fourside_Monotoli_L2_Lobby_Elevator-Up,128,128,5120,5504,5248,5632,4
Fourside_Monotoli_L3_Left_Up,256,128,5120,5120,5376,5248,4
Fourside_Monotoli_L3_Lobby_Elevator-Down,128,128,5120,5760,5248,5888,4
Fourside_Museum_1F_Exhibit-Room_Sewer-Room,256,128,5376,6784,5632,6912,4
Fourside_Topolla Theater_1F_Concert-Hall_Dressing-Room,256,128,5376,6656,5632,6784,4
Happy Happy Village_Happy Happy HQ_1F_Reception_Carpainter,256,192,7424,1792,7680,1984,4
Happy Happy Village_Lilliput Steps_1F_Hallway_Boss-Room,512,512,6912,2048,7424,2560,4
Lost Underworld_Cave of the Past_1F-Past_2F_Boss-Room,256,1280,4096,768,4352,2048,4
Lost Underworld_Fire Springs_1F_Hallway-1_Hallway-2,192,128,4096,5120,4288,5248,4
Onett_Giant Step_1F_Hallway_Boss-Room,128,512,1024,2048,1152,2560,4
Onett_Hospital_1F_2F_Left-Room,256,128,7680,896,7936,1024,4
Onett_Hospital_1F_2F_Right-Room,256,128,7680,1152,7936,1280,4
Onett_Hotel_1F_Lobby_Left-Room,256,128,7680,1280,7936,1408,4
Onett_Hotel_1F_Lobby_Right-Room,256,121,7936,1536,8192,1657,4
Onett_Library_1F_2F_Room,256,128,7936,768,8192,896,4
Onett_Lier X Agerate's Shack_1F_B1F_B2F,256,128,5376,2432,5632,2560,4
Onett_Ness' House_1F_2F_Ness'-Room,256,128,7936,1024,8192,1152,4
Onett_Ness' House_1F_2F_Tracy's-Room,256,128,7424,640,7680,768,4
Onett_Police Station_1F_Cells_Backroom,256,128,7424,128,7680,256,4
Onett_Town Hall_1F_Reception_2F,320,128,7680,128,8000,256,4
Scaraba_Dungeon Man_1F_2F_3F,512,512,3840,6144,4352,6656,4
Scaraba_Pyramid_Entryway_Stairs_Room,256,128,4096,4480,4352,4608,4
Summers and Toto_Hospital_1F_2F_Left-Room,192,128,6656,8960,6848,9088,4
Summers and Toto_Hospital_1F_2F_Right-Room,192,128,7680,8960,7872,9088,4
Summers and Toto_Hotel_1F_Lobby_Left-Room,256,128,7168,9344,7424,9472,4
Summers and Toto_Hotel_1F_Lobby_Right-Room,256,128,7680,9344,7936,9472,4
Summers and Toto_Hotel_1F_Lobby_Stairwell,256,256,7936,8960,8192,9216,4
Summers and Toto_Museum_1F_Exhibit-Room_Upstairs,192,128,7424,9472,7616,9600,4
Threed_Hospital_1F_2F_Left-Room,256,128,6912,9216,7168,9344,4
Threed_Hospital_1F_2F_Right-Room,256,128,7424,9216,7680,9344,4
Threed_Hotel_1F_Lobby_Left-Room,256,128,7424,9344,7680,9472,4
Threed_Hotel_1F_Lobby_Right-Room,256,128,7936,9344,8192,9472,4
Threed_Under Graveyard_1F_B1F_Stairs,256,128,5376,3456,5632,3584,4
Twoson_Chaos Theater_1F_Concert-Hall_Dressing-Room,256,128,7936,7424,8192,7552,4
Twoson_Hospital_1F_2F_Left-Room,256,128,7168,7552,7424,7680,4
Twoson_Hospital_1F_2F_Right-Room,256,128,6656,7552,6912,7680,4
Twoson_Hotel_1F_Lobby_Left-Room,256,128,7168,7680,7424,7808,4
Twoson_Hotel_1F_Lobby_Right-Room,256,128,7680,7680,7936,7808,4
Twoson_Houses_East-Orange_1F_2F,256,128,7936,7936,8192,8064,4
Twoson_Houses_Northwest-Green-Roof_1F_2F,256,128,7168,7808,7424,7936,4
Twoson_Polestar_1F_Den_Bedroom,256,128,6656,7936,6912,8064,4
Winters_Rainy Circle_1F_Hallway_Boss-Room,512,512,4864,0,5376,512,4
Winters_Snow Wood_1F_2F_Jeff-and-Tony's-Room,256,128,7168,1792,7424,1920,4
Winters_Snow Wood_1F_2F_Present-Room,256,128,7680,1792,7936,1920,4
Winters_Stonehenge Base_B1F_B2F_B3F,512,256,7680,4864,8192,5120,4
Cutscenes_Flashback_1F_2F,256,128,5376,4736,5632,4864,3
Dalaam_Palace_1F_Throne-Room,384,192,6656,8192,7040,8384,3
Dalaam_Pink Cloud_1F_Return-Room,512,768,4096,8448,4608,9216,3
Dalaam_Pink Cloud_1F_Top-Hole,512,256,4352,4352,4864,4608,3
Deep Darkness_Lumine Hall_1F_2F,1024,1024,3072,2048,4096,3072,3
Deep Darkness_Lumine Hall_1F_Sanctuary-Room,1024,256,6400,4608,7424,4864,3
Deep Darkness_Tenda Village_Main_Hotel-Room,192,128,6144,9600,6336,9728,3
Deep Darkness_Tenda Village_Main_Talking-Rock-Room,256,256,1024,2560,1280,2816,3
Dusty Dunes Desert_Desert Gold Mine_1F-Maze_Room-1,512,256,6144,5120,6656,5376,3
Dusty Dunes Desert_Desert Gold Mine_1F-Maze_Room-2,1024,384,7168,5120,8192,5504,3
Dusty Dunes Desert_Desert Gold Mine_1F-Maze_Room-3,256,128,6400,5632,6656,5760,3
Dusty Dunes Desert_Monkey Cave_Start_Left-(Hallway),256,128,6144,5760,6400,5888,3
"Dusty Dunes Desert_Monkey Cave_Start_Left-(Pizza,-Wet-Towel)",192,128,6144,5632,6336,5760,3
Dusty Dunes Desert_Monkey Cave_Start_Right-(Hallway),256,128,6144,6528,6400,6656,3
"Dusty Dunes Desert_Monkey Cave_Start_Right-(Pizza,-Protein-Drink)",128,128,6400,5120,6528,5248,3
Fourside_Bakery_1F_2F,256,128,5120,5888,5376,6016,3
Fourside_Department Store_1F_2nd-Floor-Room,256,128,5888,5504,6144,5632,3
Fourside_Department Store_1F_3rd-Floor-Room,256,128,5888,5248,6144,5376,3
Fourside_Department Store_1F_Boss-Room,256,128,5888,4992,6144,5120,3
Fourside_Fourside Sewers_1F_Boss-Room,768,256,3072,3072,3840,3328,3
Fourside_Fourside Sewers_1F_Left-Hallway,1280,256,6912,3328,8192,3584,3
Fourside_Fourside Sewers_1F_Left-Room,256,128,5632,3456,5888,3584,3
Fourside_Fourside Sewers_1F_Right-Room,224,128,4096,4352,4320,4480,3
Fourside_Hospital_1F_2F,1366,621,5376,6400,6742,7021,3
Fourside_Hospital_1F_Doctor's-Office,256,128,4352,4992,4608,5120,3
Fourside_Hotel_1F_ATM,128,128,5888,5760,6016,5888,3
Fourside_Hotel_1F_Lobby,384,128,5376,6272,5760,6400,3
Fourside_Jackie's Cafe_1F_Backroom,384,192,4608,4864,4992,5056,3
Fourside_Monotoli_L1_Lobby,448,256,5376,5248,5824,5504,3
Fourside_Monotoli_L2_Hallway,384,128,5376,4864,5760,4992,3
Fourside_Monotoli_L2_Left-Room-(Aloysius),320,192,5376,4992,5696,5184,3
Fourside_Monotoli_L2_Lobby,256,128,5888,6400,6144,6528,3
Fourside_Monotoli_L2_Right-Room-(Pokey),384,192,5376,5504,5760,5696,3
Fourside_Monotoli_L3_Hallway,512,128,5376,5760,5888,5888,3
Fourside_Monotoli_L3_Left,256,128,5888,4864,6144,4992,3
Fourside_Monotoli_L3_Lobby,256,128,5888,6144,6144,6272,3
Fourside_Monotoli_L3_Right,256,128,5120,4864,5376,4992,3
Fourside_Museum_1F_Exhibit-Room,768,256,4352,5120,5120,5376,3
Fourside_Topolla Theater_1F_Concert-Hall,768,384,4352,5632,5120,6016,3
Fourside_Topolla Theater_1F_Manager's-Office,256,128,4352,4864,4608,4992,3
Grapefruit Falls_Belch's Base_1F_Boss-Room,384,192,4352,4608,4736,4800,3
Grapefruit Falls_Belch's Base_1F_Room-1,256,128,3840,5248,4096,5376,3
Grapefruit Falls_Belch's Base_1F_Room-2,192,128,3840,5504,4032,5632,3
Grapefruit Falls_Belch's Base_1F_Room-3,192,128,3840,5760,4032,5888,3
Grapefruit Falls_Belch's Base_1F_Room-4,192,128,3840,6016,4032,6144,3
Happy Happy Village_Happy Happy HQ_1F_Reception,256,128,7936,1664,8192,1792,3
Happy Happy Village_Hotel_1F_2F,256,128,7424,1536,7680,1664,3
Happy Happy Village_Lilliput Steps_1F_Hallway,512,512,2816,7936,3328,8448,3
Lost Underworld_Cave of the Past_1F-Past_2F,512,515,768,7293,1280,7808,3
Lost Underworld_Fire Springs_1F_Center-Room-2,192,128,4096,5632,4288,5760,3
Lost Underworld_Fire Springs_1F_Center-Room,128,128,3584,5888,3712,6016,3
Lost Underworld_Fire Springs_1F_East-Hallway,128,128,4096,5376,4224,5504,3
