filename,size_x,size_y,x0,y0,x1,y1,hierarchy_level
Lost Underworld_Fire Springs_1F_Sanctuary-Room,640,400,5888,9712,6528,10112,3
Lost Underworld_Fire Springs_1F_South-Hallway,256,128,3584,5632,3840,5760,3
Lost Underworld_Fire Springs_1F_SW-Room,256,128,3584,5376,3840,5504,3
Moonside_Hospital_1F_Room,256,128,7936,5760,8192,5888,3
Moonside_Hotel_1F_Room,192,128,6400,6400,6592,6528,3
Onett_Arcade_1F_2F,256,128,7936,896,8192,1024,3
Onett_Giant Step_1F_Hallway,256,128,5888,2432,6144,2560,3
Onett_Giant Step_1F_Room-1,256,128,3840,4992,4096,5120,3
Onett_Giant Step_1F_Room-2,256,128,3584,5504,3840,5632,3
Onett_Giant Step_1F_Room-3,256,128,3584,5760,3840,5888,3
Onett_Hospital_1F_2F,256,128,7168,1408,7424,1536,3
Onett_Hospital_1F_Doctor's-Office,256,128,7168,1152,7424,1280,3
Onett_Hotel_1F_ATM,128,128,7168,1024,7296,1152,3
Onett_Hotel_1F_Lobby,384,128,7424,0,7808,128,3
Onett_Houses_East-Blue-Roof_1F,256,128,7424,1024,7680,1152,3
Onett_Houses_East-Orange_1F,256,128,6912,1152,7168,1280,3
Onett_Houses_North-Blue-Roof_1F,256,128,6912,896,7168,1024,3
Onett_Houses_West-Blue-Roof_1F,256,128,7424,512,7680,640,3
Onett_Houses_West-Orange_1F,256,128,7424,768,7680,896,3
Onett_Houses_West-Violet-Roof_1F,256,128,7936,256,8192,384,3
Onett_Library_1F_2F,384,128,6912,640,7296,768,3
Onett_Library_1F_Left-Room,256,128,6912,1024,7168,1152,3
Onett_Library_1F_Right-Room,256,128,6912,1280,7168,1408,3
Onett_Lier X Agerate's Shack_1F_B1F,256,256,3840,6912,4096,7168,3
Onett_Minch House_1F_2F,384,128,6912,512,7296,640,3
Onett_Ness' House_1F_2F,256,128,7424,896,7680,1024,3
Onett_Police Station_1F_Cells,256,128,7936,0,8192,128,3
Onett_Town Hall_1F_Left-Room,320,192,6912,0,7232,192,3
Onett_Town Hall_1F_Reception,192,128,7680,768,7872,896,3
Onett_Town Hall_1F_Right-Room,256,128,7680,1024,7936,1152,3
Scaraba_Dungeon Man_1F_2F,768,768,0,512,768,1280,3
Scaraba_Dungeon Man_1F_Doctor's-Office,256,192,5888,6592,6144,6784,3
Scaraba_Houses_North_1F,192,128,6400,7808,6592,7936,3
Scaraba_Houses_South_1F,192,128,6400,8064,6592,8192,3
Scaraba_Pyramid_Entryway_Stairs,320,256,256,1280,576,1536,3
Summers and Toto_Hospital_1F_2F,256,128,7680,9600,7936,9728,3
Summers and Toto_Hospital_1F_Doctor's-Office,256,128,7168,9600,7424,9728,3
Summers and Toto_Hotel_1F_Lobby,512,256,7168,8704,7680,8960,3
Summers and Toto_Museum_1F_Exhibit-Room,512,256,6656,8704,7168,8960,3
Summers and Toto_Toto Houses_West-1_1F,256,128,6656,9472,6912,9600,3
Summers and Toto_Toto Houses_West-2_1F,192,128,7168,9472,7360,9600,3
Summers and Toto_Toto Houses_West-3_1F,192,128,7680,9472,7872,9600,3
Summers and Toto_Toto Houses_West-4_1F,192,128,6656,9728,6848,9856,3
Summers and Toto_Toto Houses_West-5_1F,192,128,7168,9728,7360,9856,3
Threed_Hospital_1F_2F,256,128,7680,9856,7936,9984,3
Threed_Hospital_1F_Doctor's-Office,256,128,7168,9856,7424,9984,3
Threed_Hotel_1F_ATM,128,128,7168,9216,7296,9344,3
Threed_Hotel_1F_Lobby,320,128,7680,9216,8000,9344,3
Threed_Houses_Center-Northeast_1F,256,128,7424,9600,7680,9728,3
Threed_Houses_Southeast-Mailbox_1F,256,128,6912,9856,7168,9984,3
Threed_Houses_Southeast_1F,256,128,7424,9856,7680,9984,3
Threed_Houses_Southwest_1F,192,128,6912,9600,7104,9728,3
Threed_Skyrunner_B1F_Skyrunner-Room,256,135,6656,9977,6912,10112,3
Threed_Under Graveyard_1F_B1F,256,128,3840,2304,4096,2432,3
Twoson_Chaos Theater_1F_Concert-Hall,512,256,6656,8448,7168,8704,3
Twoson_Chaos Theater_1F_Manager's-Office,256,128,7424,7552,7680,7680,3
Twoson_Hospital_1F_2F,256,128,6912,7808,7168,7936,3
Twoson_Hospital_1F_Doctor's-Office,256,128,7680,7296,7936,7424,3
Twoson_Hotel_1F_ATM,128,128,7680,8832,7808,8960,3
Twoson_Hotel_1F_Lobby,512,192,7168,8192,7680,8384,3
Twoson_Houses_East-Orange_1F,256,128,7936,7680,8192,7808,3
Twoson_Houses_Northwest-Green-Roof_1F,256,128,7168,8064,7424,8192,3
Twoson_Houses_Northwest-Red-Roof_1F,256,128,6656,8064,6912,8192,3
Twoson_Houses_Northwest-Red-Roof_2F,256,128,6656,7808,6912,7936,3
Twoson_Houses_Southeast-Green-Roof_1F,256,128,6912,8064,7168,8192,3
Twoson_Polestar_1F_Den,256,128,6656,7680,6912,7808,3
Winters_Andonuts Lab_1F_2F,256,192,6912,1792,7168,1984,3
Winters_Rainy Circle_1F_Hallway,768,256,2816,8448,3584,8704,3
Winters_Snow Wood_1F_2F,384,192,7680,2944,8064,3136,3
Winters_Snow Wood_1F_Locker-Room,256,128,7168,1536,7424,1664,3
Winters_Snow Wood_1F_Maxwell's-Room,256,128,7680,1536,7936,1664,3
Winters_Stonehenge Base_B1F_B2F,256,512,6400,5888,6656,6400,3
Winters_Tents_North_1F,128,128,4096,5888,4224,6016,3
Winters_Tents_South-1_1F,128,128,7168,1664,7296,1792,3
Winters_Tents_South-2_1F,128,128,7680,1664,7808,1792,3
Winters_Tents_South-3_1F,128,128,7168,1920,7296,2048,3
Winters_Tents_South-4_1F,128,128,7680,1920,7808,2048,3
Cutscenes_Boat_Water,256,2048,0,8192,256,10240,2
Cutscenes_Flashback_1F,512,128,1536,8704,2048,8832,2
Cutscenes_Flashback_Outside,256,768,6144,512,6400,1280,2
Cutscenes_Skyrunner_Sky,1024,256,2048,2048,3072,2304,2
Dalaam_Houses_East,192,128,7424,7808,7616,7936,2
Dalaam_Houses_North,192,128,6912,7680,7104,7808,2
Dalaam_Houses_South,192,128,6912,7936,7104,8064,2
Dalaam_Palace_1F,512,192,7680,8192,8192,8384,2
Dalaam_Pink Cloud_1F,512,768,3840,6656,4352,7424,2
Dalaam_Shop_1F,192,128,7424,8064,7616,8192,2
Deep Darkness_Lumine Hall_1F,1024,1024,3072,0,4096,1024,2
Deep Darkness_Tenda Village_Main,768,512,0,0,768,512,2
Dusty Dunes Desert_Construction Shack_1F,192,128,7936,1792,8128,1920,2
Dusty Dunes Desert_Desert Gold Mine_1F-Initial,256,256,256,8192,512,8448,2
Dusty Dunes Desert_Desert Gold Mine_1F-Maze,1792,1536,6400,5376,8192,6912,2
Dusty Dunes Desert_Drug Store_1F,256,128,7680,2048,7936,2176,2
Dusty Dunes Desert_Monkey Cave_Entryway-Room,512,128,7168,5248,7680,5376,2
"Dusty Dunes Desert_Monkey Cave_Start-(Picnic-Lunch,-Skip-Sandwich)",192,128,6144,5376,6336,5504,2
Fourside_Bakery_1F,256,192,4352,5376,4608,5568,2
Fourside_Department Store_1F,1024,896,4352,6016,5376,6912,2
Fourside_Fourside Sewers_1F,1280,256,4864,512,6144,768,2
Fourside_Hospital_1F,512,128,5376,6144,5888,6272,2
Fourside_Hotel_1F,256,128,5888,6016,6144,6144,2
Fourside_Jackie's Cafe_1F,256,128,5376,6528,5632,6656,2
Fourside_Museum_1F,256,128,5888,6784,6144,6912,2
Fourside_Topolla Theater_1F,512,192,4608,5376,5120,5568,2
Grapefruit Falls_Belch's Base_1F,1536,512,2048,5376,3584,5888,2
Happy Happy Village_Drug Store_1F,256,128,6912,1664,7168,1792,2
Happy Happy Village_Happy Happy HQ_1F,768,256,7424,2176,8192,2432,2
Happy Happy Village_Hospital_1F,256,128,7424,1664,7680,1792,2
Happy Happy Village_Hotel_1F,256,128,6912,1536,7168,1664,2
Happy Happy Village_Lilliput Steps_1F,1024,1024,3072,1024,4096,2048,2
Happy Happy Village_Mr Saturn's House_1F,192,192,7936,1920,8128,2112,2
Happy Happy Village_Town Hall_1F,256,128,7424,2048,7680,2176,2
Lost Underworld_Cave of the Past_1F-Past,768,1280,0,5888,768,7168,2
Lost Underworld_Cave of the Past_1F-Present,768,512,5376,0,6144,512,2
Lost Underworld_Fire Springs_1F,1024,640,2816,6272,3840,6912,2
Magicant_Flying Man House_1F,256,128,7936,8064,8192,8192,2
Magicant_Hotel_1F,256,128,7424,7936,7680,8064,2
Magicant_Sea of Eden_1F,768,768,256,8960,1024,9728,2
Magicant_Shop_1F,256,128,7424,7680,7680,7808,2
Magicant_Southeast House_1F,256,128,7936,7808,8192,7936,2
Moonside_Hospital_1F,512,128,7168,4864,7680,4992,2
Moonside_Hotel_1F,256,128,6400,5760,6656,5888,2
Moonside_Jackie's Cafe_1F,192,128,6400,4864,6592,4992,2
Moonside_Museum_1F,256,256,6144,4096,6400,4352,2
Moonside_Secret Room_1F,256,128,5376,4352,5632,4480,2
Onett_Arcade_1F,384,128,7680,640,8064,768,2
Onett_Bakery_1F,256,128,7168,1280,7424,1408,2
Onett_Burger Shop_1F,256,128,7424,384,7680,512,2
Onett_Drug Store_1F,256,128,7680,1408,7936,1536,2
Onett_Entertainers' Shack_1F,256,128,6912,1408,7168,1536,2
Onett_Exit Mouse House_1F,192,128,7424,1280,7616,1408,2
Onett_Giant Step_1F,1024,768,1792,7936,2816,8704,2
Onett_Hint Man's House_1F,256,128,7936,1152,8192,1280,2
Onett_Hospital_1F,256,128,7168,896,7424,1024,2
Onett_Hotel_1F,256,128,7936,1408,8192,1536,2
Onett_Library_1F,448,128,7680,384,8128,512,2
Onett_Lier X Agerate's Shack_1F,192,128,7424,1152,7616,1280,2
Onett_Minch House_1F,512,128,6912,768,7424,896,2
Onett_Ness' House_1F,448,128,7424,256,7872,384,2
Onett_Police Station_1F,320,192,6912,256,7232,448,2
Onett_Scam House_1F,256,128,7424,1408,7680,1536,2
Onett_Secret Hideout_1F,192,128,7936,1280,8128,1408,2
Onett_Town Hall_1F,384,128,7680,512,8064,640,2
Peaceful Rest Valley_Paula's Cabin_1F,256,128,6912,9728,7168,9856,2
Saturn Valley_Doctor Saturn_1F,128,128,7168,7936,7296,8064,2
Saturn Valley_Hotel_1F,128,144,6400,7920,6528,8064,2
Saturn Valley_Ladder Room_1F,256,192,3072,5120,3328,5312,2
Saturn Valley_Milky Well_1F,1027,774,0,5116,1027,5890,2
Saturn Valley_Saturn Shop_1F,128,128,7680,7936,7808,8064,2
Saturn Valley_Trash Room_1F,192,128,6656,3328,6848,3456,2
Scaraba_Dungeon Man_1F,768,1024,4096,0,4864,1024,2
Scaraba_Hospital_1F,384,128,7680,8448,8064,8576,2
Scaraba_Hotel_1F,640,128,7424,6912,8064,7040,2
Scaraba_Pyramid_Entryway,192,128,5632,2432,5824,2560,2
Scaraba_Shop_1F,192,128,6400,7552,6592,7680,2
Summers and Toto_Hospital_1F,256,128,6656,9600,6912,9728,2
Summers and Toto_Hotel_1F,256,128,6656,9344,6912,9472,2
Summers and Toto_Museum_1F,256,128,6912,9472,7168,9600,2
Summers and Toto_Restaurant_1F,640,256,6912,8960,7552,9216,2
Summers and Toto_Stoic Club_1F,256,128,7680,9088,7936,9216,2
Summers and Toto_Summers Shop_1F,256,128,6656,9088,6912,9216,2
Summers and Toto_Toto Shop_1F,192,128,7680,9728,7872,9856,2
Threed_Bakery_1F,256,128,7936,9856,8192,9984,2
Threed_Circus Tent_1F,256,256,7936,9984,8192,10240,2
Threed_Drug Store_1F,256,128,7936,9600,8192,9728,2
Threed_Hint Man's House_1F,256,128,7936,9728,8192,9856,2
Threed_Hospital_1F,256,128,6656,9856,6912,9984,2
Threed_Hotel_1F,256,128,6656,9216,6912,9344,2
Threed_Mach Pizza_1F,256,128,6912,9344,7168,9472,2
Threed_Skyrunner_B1F,256,128,6400,9600,6656,9728,2
Threed_Under Graveyard_1F,256,256,4352,8192,4608,8448,2
Transitions_Dusty Dunes to Fourside_Dusty-Dunes-to-Fourside-Bridge,512,128,7680,8576,8192,8704,2
Transitions_Dusty Dunes to Fourside_Fourside-Bridge-to-Fourside,768,128,5632,3328,6400,3456,2
Transitions_Dusty Dunes to Fourside_Fourside-Bridge,1536,256,4352,9856,5888,10112,2
Transitions_Grapefruit Falls to Saturn Valley_Hallway-1,768,128,7424,3200,8192,3328,2
Transitions_Grapefruit Falls to Saturn Valley_Hallway-2,256,128,6656,3456,6912,3584,2
Transitions_Grapefruit Falls to Saturn Valley_Room-1,192,128,6656,3200,6848,3328,2
Transitions_Twoson to Peaceful Rest Valley_Tunnel-1,256,128,6912,9984,7168,10112,2
Transitions_Twoson to Peaceful Rest Valley_Tunnel-2,512,128,7424,9984,7936,10112,2
Transitions_Twoson to Threed_Road-to-Threed,1024,512,2304,7424,3328,7936,2
Transitions_Twoson to Threed_Tunnel-A,2048,128,5888,10112,7936,10240,2
Transitions_Twoson to Threed_Tunnel-B,768,128,6144,0,6912,128,2
Twoson_Apple Kid's House_1F,256,128,7680,7808,7936,7936,2
Twoson_Bus Station_1F,384,192,7168,8448,7552,8640,2
Twoson_Chaos Theater_1F,256,128,7424,7296,7680,7424,2
Twoson_Cycle Shop_1F,256,128,6912,7552,7168,7680,2
Twoson_Department Store_1F,1024,640,6400,6912,7424,7552,2
Twoson_Everdred's Shack_1F,192,128,7680,8064,7872,8192,2
Twoson_Hint Man's House_1F,256,128,7936,7168,8192,7296,2
Twoson_Hospital_1F,384,128,7680,8704,8064,8832,2
Twoson_Hotel_1F,320,128,7424,7168,7744,7296,2
Twoson_Mach Pizza_1F,192,128,6400,7680,6592,7808,2
Twoson_Orange Kid's House_1F,256,128,7680,7552,7936,7680,2
Twoson_Polestar_1F,320,128,7424,7424,7744,7552,2
Winters_Andonuts Lab_1F,512,256,7680,2688,8192,2944,2
Winters_Brickroad Dungeon_1F,1024,512,1024,3328,2048,3840,2
Winters_Drug Store_1F,256,128,7424,2432,7680,2560,2
Winters_Rainy Circle_1F,768,256,6144,4864,6912,5120,2
Winters_Snow Wood_1F,384,192,7680,2432,8064,2624,2
Winters_Stonehenge Base_B1F,256,256,6912,3584,7168,3840,2
Transitions_Belch's-Base-to-Saturn-Valley,768,128,7424,7040,8192,7168,1
Transitions_Paula's-Cabin-to-Happy-Happy,512,128,3840,3328,4352,3456,1
Transitions_Peaceful-Rest-Valley-to-Happy-Happy,512,128,4864,2432,5376,2560,1
Transitions_Saturn-Valley-to-Milky-Well,512,128,7168,4992,7680,5120,1
Transitions_Threed-to-Dusty-Dunes,1280,128,4352,10112,5632,10240,1
Dalaam,1024,1024,4096,3328,5120,4352,0
Deep-Darkness,2048,1280,4352,6912,6400,8192,0
Dusty-Dunes-Desert,4096,1536,256,8704,4352,10240,0
Fourside,2048,2048,2048,3328,4096,5376,0
Grapefruit-Falls,768,2432,6144,128,6912,2560,0
Happy-Happy-Village,1024,1024,3328,7424,4352,8448,0
Lost-Underworld,1280,1024,1792,2304,3072,3328,0
Magicant,1536,1280,4864,3584,6400,4864,0
Moonside,1024,1280,7168,3584,8192,4864,0
Onett,3072,3328,0,0,3072,3328,0
Peaceful-Rest-Valley,2048,1792,4096,768,6144,2560,0
Saturn-Valley,768,1024,0,7168,768,8192,0
Scaraba,1024,2048,1024,3840,2048,5888,0
Summers-and-Toto,3584,768,4096,2560,7680,3328,0
Threed,2304,1664,4352,8192,6656,9856,0
Twoson,3584,3072,256,5888,3840,8960,0
Winters,1024,3072,0,2048,1024,5120,0
